GENERO,ESTADO_CIVIL,FORMA_INGRESSO,NOME_ATIV_CURRIC,CH_TOTAL,NUM_FALTAS,MEDIA_FINAL,IDADE_PRIMEIRO_ANO,DURACAO_CURSO,CREDITO_TEORICO,CREDITO_PRATICO,CREDITO_CAMPO,PERCENTUAL_FREQUENCIA_PERIODO,PERCENTUAL_FREQUENCIA_DISCIPLINA,MEDIA_PERIODO,MEDIA_SEMESTRE,SITUACAO
M,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,2.0,8.75,19,7.0,4,0,0,84.72,97.22,5.82,6.32,Aprovado
M,Solteiro(a),Transferência Externa,Geometria Analítica para Educação Básica,60.0,0.0,0.0,25,7.0,4,0,0,26.07,100.0,0.3,0.0,Reprovado
M,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,4.0,9.25,20,5.0,4,0,0,97.57,94.44,8.69,8.69,Aprovado
M,Não informado,Vestibular,Geometria Analítica para Educação Básica,60.0,2.0,8.4,23,9.0,4,0,0,97.22,97.22,7.64,7.64,Aprovado
F,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,2.0,8.5,18,9.0,4,0,0,99.31,97.22,8.2,8.2,Aprovado
M,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,10.0,0.0,19,6.0,4,0,0,88.35,86.11,4.1,4.14,Reprovado
M,Casado(a),Vestibular,Geometria Analítica para Educação Básica,60.0,2.0,6.38,31,6.0,4,0,0,98.61,97.22,8.46,8.46,Aprovado
M,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,9.0,2.88,19,6.0,4,0,0,88.35,87.5,4.1,2.36,Reprovado
F,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,72.0,0.0,29,6.0,4,0,0,85.52,0.0,3.62,0.0,Reprovado por Freqüência
M,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,2.0,3.25,19,6.0,4,0,0,88.35,97.22,4.1,5.58,Reprovado
F,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,5.0,3.0,29,6.0,4,0,0,85.52,93.06,3.62,3.83,Reprovado
F,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,5.0,3.55,29,6.0,4,0,0,85.52,93.06,3.62,5.43,Reprovado
M,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,3.0,8.0,17,4.0,4,0,0,98.78,95.83,8.57,8.57,Aprovado
M,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,2.0,5.4,17,9.0,4,0,0,98.61,97.22,7.53,7.53,Aprovado
M,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,3.0,9.7,21,4.0,4,0,0,98.78,95.83,9.59,9.59,Aprovado
M,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,6.0,8.0,18,10.0,4,0,0,97.22,91.67,6.28,4.6,Aprovado
M,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,3.0,9.25,18,4.0,4,0,0,99.13,95.83,8.9,8.9,Aprovado
M,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,9.0,3.4,18,10.0,4,0,0,97.22,87.5,6.28,3.13,Reprovado
M,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,3.0,3.92,18,10.0,4,0,0,97.22,95.83,6.28,3.88,Reprovado
F,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,3.0,4.45,20,6.0,4,0,0,87.5,95.83,4.34,6.41,Reprovado
F,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,72.0,0.0,21,6.0,4,0,0,78.84,0.0,4.13,4.22,Reprovado por Freqüência
M,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,72.0,72.0,0.0,19,4.0,4,0,0,34.32,16.67,0.03,0.03,Reprovado por Freqüência
F,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,0.0,6.25,21,6.0,4,0,0,78.84,100.0,4.13,4.51,Aprovado
M,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,0.0,4.5,23,10.0,4,0,0,92.86,100.0,4.44,6.47,Reprovado
F,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,5.0,2.25,21,6.0,4,0,0,78.84,93.06,4.13,5.23,Reprovado
M,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,4.0,2.15,23,10.0,4,0,0,92.86,94.44,4.44,2.65,Reprovado
M,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,7.0,3.85,23,10.0,4,0,0,92.86,90.28,4.44,5.55,Reprovado
M,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,58.0,0.0,18,6.0,4,0,0,71.9,19.44,2.42,0.21,Reprovado por Freqüência
M,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,5.0,2.88,23,10.0,4,0,0,92.86,93.06,4.44,5.06,Reprovado
M,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,72.0,0.0,18,6.0,4,0,0,71.9,0.0,2.42,1.63,Reprovado por Freqüência
M,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,72.0,0.0,18,6.0,4,0,0,71.9,0.0,2.42,3.89,Reprovado por Freqüência
M,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,4.0,6.25,21,6.0,4,0,0,86.67,94.44,5.78,6.59,Aprovado
M,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,2.0,8.0,19,5.0,4,0,0,98.96,97.22,8.8,8.8,Aprovado
M,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,1.0,8.0,17,5.0,4,0,0,98.78,98.61,7.83,7.83,Aprovado
M,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,0.0,5.08,26,8.0,4,0,0,99.69,100.0,6.87,6.48,Aprovado
M,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,0.0,0.0,23,5.0,4,0,0,38.29,100.0,0.0,0.0,Reprovado
M,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,72.0,0.0,23,5.0,4,0,0,38.29,0.0,0.0,0.0,Reprovado por Freqüência
F,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,72.0,0.0,18,6.0,4,0,0,87.5,0.0,4.88,5.92,Reprovado por Freqüência
M,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,1.0,5.42,20,8.0,4,0,0,99.13,98.61,7.1,7.1,Aprovado
M,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,6.0,8.5,19,6.0,4,0,0,92.46,91.67,5.71,5.44,Aprovado
F,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,3.0,2.75,18,6.0,4,0,0,87.5,95.83,4.88,5.13,Reprovado
M,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,6.0,3.2,19,6.0,4,0,0,92.46,91.67,5.71,4.66,Reprovado
M,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,4.0,2.55,19,6.0,4,0,0,92.46,94.44,5.71,6.21,Reprovado
M,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,72.0,0.0,26,5.0,4,0,0,76.54,0.0,3.2,0.38,Reprovado por Freqüência
M,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,1.0,8.05,19,6.0,4,0,0,97.74,98.61,8.09,8.09,Aprovado
M,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,2.0,8.0,26,5.0,4,0,0,76.54,97.22,3.2,1.26,Aprovado
M,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,0.0,0.0,26,5.0,4,0,0,76.54,100.0,3.2,0.34,Reprovado
M,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,72.0,0.0,26,5.0,4,0,0,76.54,0.0,3.2,4.81,Reprovado por Freqüência
M,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,3.0,2.25,26,5.0,4,0,0,76.54,95.83,3.2,5.12,Reprovado
M,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,14.0,8.0,17,10.0,4,0,0,95.96,80.56,6.5,3.55,Aprovado
M,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,8.0,3.38,17,10.0,4,0,0,95.96,88.89,6.5,6.73,Reprovado
M,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,2.0,3.9,17,10.0,4,0,0,95.96,97.22,6.5,6.28,Reprovado
F,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,4.0,8.0,25,11.0,4,0,0,89.84,94.44,5.15,4.14,Aprovado
F,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,1.0,3.38,25,11.0,4,0,0,89.84,98.61,5.15,5.65,Reprovado
F,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,2.0,3.0,25,11.0,4,0,0,89.84,97.22,5.15,5.85,Reprovado
F,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,56.0,0.0,20,6.0,4,0,0,87.5,22.22,4.34,0.23,Reprovado por Freqüência
M,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,5.0,5.0,23,5.0,4,0,0,95.73,93.06,3.72,4.95,Aprovado
F,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,0.0,0.0,20,6.0,4,0,0,87.5,100.0,4.34,0.0,Reprovado
F,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,0.0,3.85,20,6.0,4,0,0,87.5,100.0,4.34,3.75,Reprovado
M,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,72.0,0.0,19,6.0,4,0,0,65.42,0.0,1.19,0.37,Reprovado por Freqüência
M,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,5.0,1.65,19,6.0,4,0,0,65.42,93.06,1.19,2.54,Reprovado
M,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,2.0,8.3,19,8.0,4,0,0,98.61,97.22,7.84,7.84,Aprovado
M,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,6.0,5.02,22,8.0,4,0,0,97.57,91.67,6.8,6.8,Aprovado
M,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,72.0,0.0,30,4.0,4,0,0,70.83,0.0,3.59,0.0,Reprovado por Freqüência
M,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,72.0,72.0,0.0,30,4.0,4,0,0,70.83,16.67,3.59,4.49,Reprovado por Freqüência
M,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,72.0,72.0,0.0,19,4.0,4,0,0,33.14,16.67,0.04,0.03,Reprovado por Freqüência
M,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,72.0,0.0,19,4.0,4,0,0,33.14,0.0,0.04,0.05,Reprovado por Freqüência
M,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,72.0,0.0,18,6.0,4,0,0,76.03,0.0,1.34,0.0,Reprovado por Freqüência
M,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,0.0,0.0,18,6.0,4,0,0,76.03,100.0,1.34,0.0,Reprovado
M,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,72.0,0.0,18,6.0,4,0,0,76.03,0.0,1.34,0.55,Reprovado por Freqüência
M,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,5.0,1.68,18,6.0,4,0,0,76.03,93.06,1.34,3.5,Reprovado
M,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,72.0,0.0,8.0,18,4.0,4,0,0,99.31,100.0,7.34,7.34,Aprovado
