GENERO,ESTADO_CIVIL,FORMA_INGRESSO,NOME_ATIV_CURRIC,CH_TOTAL,NUM_FALTAS,MEDIA_FINAL,IDADE_PRIMEIRO_ANO,DURACAO_CURSO,CREDITO_TEORICO,CREDITO_PRATICO,CREDITO_CAMPO,PERCENTUAL_FREQUENCIA_PERIODO,PERCENTUAL_FREQUENCIA_DISCIPLINA,MEDIA_PERIODO,MEDIA_SEMESTRE,SITUACAO)
M,Solteiro(a),Vestibular,Sociologia,30.0,3.0,9.3,18,9.0,2,0,0,96.01,91.67,8.23,7.6,Aprovado
M,Solteiro(a),Vestibular,Sociologia,30.0,3.0,9.5,17,5.0,2,0,0,96.88,91.67,8.65,9.21,Aprovado
M,Solteiro(a),Processo Seletivo - SiSU,Sociologia,30.0,4.0,2.25,30,0.0,2,0,0,35.59,88.89,0.8,0.8,Reprovado
F,Solteiro(a),Vestibular,Sociologia,30.0,22.0,0.0,19,5.0,2,0,0,36.8,38.89,2.25,0.0,Reprovado por Freqüência
F,Solteiro(a),Vestibular,Sociologia,30.0,15.0,0.0,18,9.0,2,0,0,74.4,58.33,4.49,3.75,Reprovado por Freqüência
F,Solteiro(a),Vestibular,Sociologia,30.0,0.0,9.0,18,9.0,2,0,0,74.4,100.0,4.49,5.82,Aprovado
M,Solteiro(a),Vestibular,Sociologia,30.0,3.0,8.75,18,7.0,2,0,0,94.62,91.67,7.27,6.46,Aprovado
F,Solteiro(a),Processo Seletivo - SiSU,Sociologia,30.0,0.0,9.0,24,6.0,2,0,0,83.64,100.0,6.66,4.79,Aprovado
M,Solteiro(a),Vestibular,Sociologia,30.0,3.0,8.5,18,7.0,2,0,0,72.22,91.67,4.44,4.51,Aprovado
M,Solteiro(a),Vestibular,Sociologia,30.0,3.0,8.5,17,6.0,2,0,0,97.22,91.67,8.35,8.35,Aprovado
M,Solteiro(a),Processo Seletivo - SiSU,Sociologia,30.0,2.0,10.0,22,4.0,2,0,0,71.67,94.44,6.93,5.86,Aprovado
F,Solteiro(a),Vestibular,Sociologia,30.0,4.0,8.5,17,8.0,2,0,0,62.12,88.89,4.35,6.75,Aprovado
F,Casado(a),Vestibular,Sociologia,30.0,9.0,0.5,18,7.0,2,0,0,42.46,75.0,0.77,4.66,Reprovado
F,Solteiro(a),Vestibular,Sociologia,30.0,3.0,9.25,17,6.0,2,0,0,95.83,91.67,8.58,8.58,Aprovado
F,Solteiro(a),Vestibular,Sociologia,30.0,8.0,8.0,17,7.0,2,0,0,60.8,77.78,5.38,7.41,Aprovado
M,Solteiro(a),Vestibular,Sociologia,30.0,9.0,9.0,25,7.0,2,0,0,90.59,75.0,7.18,6.83,Aprovado
M,Solteiro(a),Vestibular,Sociologia,30.0,32.0,0.0,17,8.0,2,0,0,25.93,11.11,0.0,0.0,Reprovado por Freqüência
F,Solteiro(a),Vestibular,Sociologia,30.0,9.0,6.52,17,7.0,2,0,0,61.11,75.0,4.09,6.3,Aprovado
M,Solteiro(a),Vestibular,Sociologia,30.0,4.0,8.25,18,8.0,2,0,0,92.28,88.89,7.17,7.2,Aprovado
M,Solteiro(a),Vestibular,Sociologia,30.0,3.0,8.25,23,8.0,2,0,0,56.95,91.67,5.68,6.85,Aprovado
