PERIODO_IDEAL ,GENERO ,ESTADO_CIVIL  ,FORMA_INGRESSO               ,NOME_ATIV_CURRIC                               ,CH_TOTAL ,NUM_FALTAS ,MEDIA_FINAL ,SITUACAO                 ,IDADE_PRIMEIRO_ANO ,DURACAO_CURSO ,CREDITO_TEORICO ,CREDITO_PRATICO ,CREDITO_CAMPO ,PERCENTUAL_FREQUENCIA_PERIODO ,PERCENTUAL_FREQUENCIA_DISCIPLINA ,MEDIA_PERIODO ,MEDIA_SEMESTRE ,FORMA_EVASAO
            1 ,F      ,Solteiro(a)   ,Vestibular                   ,Geometria Analítica para Educação Básica       ,    60.0 ,       0.0 ,       8.65 ,Aprovado                 ,                17 ,          5.0 ,              4 ,              0 ,            0 ,                        99.31 ,                          100.0  ,         9.17 ,          9.17 ,Formado
            1 ,M      ,Solteiro(a)   ,Vestibular                   ,Geometria Analítica para Educação Básica       ,    60.0 ,       0.0 ,       9.25 ,Aprovado                 ,                19 ,          7.0 ,              4 ,              0 ,            0 ,                        95.66 ,                          100.0  ,         7.96 ,          7.96 ,Formado
            1 ,M      ,Solteiro(a)   ,Vestibular                   ,Geometria Analítica para Educação Básica       ,    60.0 ,       0.0 ,       8.25 ,Aprovado                 ,                24 ,          6.0 ,              4 ,              0 ,            0 ,                        98.96 ,                          100.0  ,         7.1  ,          7.1  ,Desistência
            1 ,M      ,Solteiro(a)   ,Vestibular                   ,Geometria Analítica para Educação Básica       ,    60.0 ,       0.0 ,       8.75 ,Aprovado                 ,                18 ,          5.0 ,              4 ,              0 ,            0 ,                        97.57 ,                          100.0  ,         8.5  ,          8.5  ,Formado
            1 ,M      ,Solteiro(a)   ,Vestibular                   ,Geometria Analítica para Educação Básica       ,    60.0 ,       0.0 ,       9.4  ,Aprovado                 ,                20 ,          7.0 ,              4 ,              0 ,            0 ,                        96.87 ,                          100.0  ,         7.79 ,          7.79 ,Jubilamento
            1 ,M      ,Solteiro(a)   ,Vestibular                   ,Geometria Analítica para Educação Básica       ,    60.0 ,       0.0 ,       8.65 ,Aprovado                 ,                24 ,          5.0 ,              4 ,              0 ,            0 ,                        96.3  ,                          100.0  ,         7.37 ,          7.25 ,Desistência
            1 ,M      ,Solteiro(a)   ,Vestibular                   ,Geometria Analítica para Educação Básica       ,    60.0 ,       0.0 ,       8.5  ,Aprovado                 ,                18 ,         11.0 ,              4 ,              0 ,            0 ,                        74.15 ,                          100.0  ,         4.12 ,          6.44 ,Jubilamento
            1 ,M      ,Solteiro(a)   ,Vestibular                   ,Geometria Analítica para Educação Básica       ,    60.0 ,       2.0 ,       8.15 ,Aprovado                 ,                19 ,          7.0 ,              4 ,              0 ,            0 ,                        96.53 ,                           97.22 ,         7.91 ,          7.91 ,Jubilamento
            1 ,F      ,Solteiro(a)   ,Vestibular                   ,Geometria Analítica para Educação Básica       ,    60.0 ,       0.0 ,       8.65 ,Aprovado                 ,                18 ,          7.0 ,              4 ,              0 ,            0 ,                        79.44 ,                          100.0  ,         3.56 ,          6.37 ,Jubilamento
            1 ,M      ,Solteiro(a)   ,Vestibular                   ,Geometria Analítica para Educação Básica       ,    60.0 ,       2.0 ,       8.0  ,Aprovado                 ,                18 ,          3.0 ,              4 ,              0 ,            0 ,                        67.26 ,                           97.22 ,         2.9  ,          5.07 ,Desistência
